gene	strain	bitscore	llik
gag	NL43	2765	-32.93
gag	NL43	2771	-40.43
gag	89.6	2771	-38.76
gag	HXB2	2654	-46.68
gag	HXB2	2715	-51.41
gag	JRCSF	2767	-42.68
gag	JRCSF	2747	-85.41
gag	YU2	2654	-100.59
gag	HXB2	2597	-121.41
gag	YU2	2721	-148.49
gag	HXB2	2604	-181.44
gag	JRCSF	2647	-196.85
gag	YU2	2610	-218.65
gag	JRCSF	2591	-233.78
gag	89.6	2713	-235.94
gag	89.6	2676	-267.71
gag	89.6	2643	-289.55
gag	JRCSF	2603	-309.71
gag	89.6	2543	-315.54
gag	YU2	2531	-335.89
gag	89.6	2610	-333.24
gag	NL43	2510	-349.71
gag	NL43	2508	-364.82
gag	YU2	2394	-370.17
env	NL43	4532	-139.38
env	JRCSF	4669	-88.43
env	NL43	4532	-150.05
env	NL43	4543	-153.37
env	JRCSF	4663	-101.53
env	NL43	4191	-160.30
env	JRCSF	4591	-112.09
env	NL43	4554	-157.18
env	NL43	4141	-181.60
env	JRCSF	4669	-122.48
env	NL43	4148	-187.21
env	JRCSF	4547	-151.05
env	89.6	4737	-82.86
env	NL43	4170	-192.78
env	JRCSF	4674	-147.73
env	JRCSF	4449	-158.08
env	JRCSF	4663	-164.01
env	JRCSF	4444	-194.73
env	89.6	4724	-151.59
env	YU2	4590	-206.79
env	YU2	4233	-198.92
env	89.6	4711	-185.58
env	89.6	4724	-195.08
env	YU2	4595	-251.51
env	NL43	4368	-227.62
env	YU2	4590	-299.02
env	JRCSF	4658	-281.71
env	YU2	3936	-336.38
env	89.6	4353	-314.59
env	NL43	3995	-364.64
env	YU2	4455	-397.08
env	89.6	4610	-348.99
env	89.6	4621	-358.63
env	YU2	4217	-425.77
env	NL43	4071	-409.64
env	YU2	4021	-461.21
env	NL43	4427	-459.00
env	JRCSF	4172	-440.20
env	YU2	4013	-522.40
env	JRCSF	4455	-522.62
env	89.6	4604	-480.17
env	YU2	4106	-546.57
env	89.6	4028	-526.26
env	JRCSF	4163	-553.75
env	JRCSF	4095	-573.13
env	YU2	4137	-612.76
env	89.6	4178	-567.70
env	YU2	4045	-632.98
env	89.6	4521	-550.58
env	JRCSF	4111	-613.32
env	89.6	4235	-584.09
env	89.6	4536	-572.12
env	NL43	3901	-644.33
env	89.6	4146	-604.84
env	89.6	4379	-574.86
env	89.6	4215	-597.25
env	JRCSF	3999	-646.19
env	YU2	3980	-658.80
env	89.6	3976	-614.45
env	89.6	3945	-639.15
env	JRCSF	4255	-678.57
env	89.6	4313	-627.07
env	YU2	3962	-698.08
env	JRCSF	3744	-710.28
env	JRCSF	3572	-695.23
env	JRCSF	3559	-667.56
env	89.6	2455	-1440.03
env	89.6	4187	-654.89
env	YU2	3493	-732.18
vif	89.6	1064	-16.37
vif	NL43	1064	-12.83
vif	89.6	1059	-20.78
vif	JRCSF	1064	-17.66
vif	HXB2	1026	-47.88
vif	JRCSF	1026	-59.13
vif	89.6	1014	-70.88
vif	JRCSF	1020	-90.74
vif	HXB2	1031	-97.62
vif	HXB2	1020	-106.87
vif	NL43	1042	-107.86
vif	HXB2	987	-117.45
vif	NL43	1020	-119.01
vif	NL43	1009	-132.65
vif	NL43	898	-144.22
vif	89.6	965	-138.69
vif	JRCSF	957	-149.38
vif	NL43	937	-153.16
vif	NL43	948	-156.26
vif	NL43	846	-167.41
vif	NL43	937	-151.24
vif	89.6	920	-150.95
vif	NL43	706	-234.55
vif	NL43	564	-298.68
vif	JRCSF	828	-169.47
vif	NL43	531	-318.01
vif	NL43	608	-246.17
vif	NL43	782	-178.43
vif	HXB2	475	-382.29
vif	NL43	516	-323.60
vif	NL43	490	-420.01
vif	NL43	523	-316.18
vif	YU2	505	-311.79
vif	NL43	496	-365.83
vif	NL43	595	-198.90
vif	NL43	521	-334.30
vif	NL43	499	-329.83
vif	JRCSF	477	-359.33
nef	89.6	1142	-27.26
nef	NL43	1061	-22.59
nef	JRCSF	1051	-33.66
nef	NL43	1066	-39.24
nef	JRCSF	1057	-35.96
nef	NL43	1050	-42.46
nef	89.6	1013	-44.54
nef	NL43	1044	-61.28
nef	NL43	1055	-66.07
nef	NL43	1044	-68.72
nef	NL43	1011	-80.39
nef	YU2	972	-61.08
nef	HXB2	992	-94.82
nef	YU2	1005	-76.92
nef	89.6	1090	-91.20
nef	JRCSF	1014	-84.12
nef	89.6	1129	-105.36
